ds,y
2018-08-20,22.950001
2018-08-21,23.17
2018-08-22,23.139999
2018-08-23,22.84
2018-08-24,22.83
2018-08-27,23.1
2018-08-28,22.879998999999998
2018-08-29,22.98
2018-08-30,21.879998999999998
2018-08-31,21.610001
2018-09-04,21.25
2018-09-05,21.299999
2018-09-06,21.49
2018-09-07,21.450001
2018-09-10,21.65
2018-09-11,21.799999
2018-09-12,21.940001000000002
2018-09-13,22.27
2018-09-14,22.23
2018-09-17,22.360001
2018-09-18,22.549999
2018-09-19,22.540001
2018-09-20,22.620001000000002
2018-09-21,22.809998999999998
2018-09-24,22.65
2018-09-25,22.540001
2018-09-26,22.200001
2018-09-27,22.25
2018-09-28,21.700001
2018-10-01,21.43
2018-10-02,21.110001
2018-10-03,21.26
2018-10-04,21.200001
2018-10-05,21.08
2018-10-08,20.360001
2018-10-09,19.84
2018-10-10,20.08
2018-10-11,19.950001
2018-10-12,19.99
2018-10-15,20.360001
2018-10-16,20.35
2018-10-17,20.190001000000002
2018-10-18,19.91
2018-10-19,20.200001
2018-10-22,19.59
2018-10-23,19.360001
2018-10-24,18.889999
2018-10-25,18.91
2018-10-26,18.620001000000002
2018-10-29,18.790001
2018-10-30,18.860001
2018-10-31,18.93
2018-11-01,19.799999
2018-11-02,19.450001
2018-11-05,19.709999
2018-11-06,19.129998999999998
2018-11-07,19.51
2018-11-08,19.09
2018-11-09,18.790001
2018-11-12,18.59
2018-11-13,20.08
2018-11-14,20.370001000000002
2018-11-15,19.870001000000002
2018-11-16,19.6
2018-11-19,19.83
2018-11-20,19.51
2018-11-21,19.52
2018-11-23,19.719998999999998
2018-11-26,20.91
2018-11-27,21.24
2018-11-28,21.690001000000002
2018-11-29,21.309998999999998
2018-11-30,21.49
2018-12-03,21.26
2018-12-04,20.719998999999998
2018-12-06,20.75
2018-12-07,20.48
2018-12-10,20.139999
2018-12-11,20.110001
2018-12-12,20.440001000000002
2018-12-13,20.09
2018-12-14,20.120001000000002
2018-12-17,20.01
2018-12-18,19.84
2018-12-19,19.799999
2018-12-20,20.0
2018-12-21,19.35
2018-12-24,19.17
2018-12-26,19.559998999999998
2018-12-27,19.299999
2018-12-28,19.51
2018-12-31,19.280001000000002
2019-01-02,19.719998999999998
2019-01-03,19.639999
2019-01-04,20.030001000000002
2019-01-07,20.18
2019-01-08,19.719998999999998
2019-01-09,19.51
2019-01-10,19.58
2019-01-11,19.700001
2019-01-14,19.280001000000002
2019-01-15,19.040001
2019-01-16,19.110001
2019-01-17,19.190001000000002
2019-01-18,19.299999
